rubric_id,criterion_id,criterion_title,weight,level_id,level_points,descriptor
rubrica-analisis-geopolitico,contexto,Contexto y encuadre,0.25,insuficiente,1,No sitúa el foco en su contexto regional ni temporal.
rubrica-analisis-geopolitico,contexto,Contexto y encuadre,0.25,suficiente,2,Describe el contexto básico con imprecisiones.
rubrica-analisis-geopolitico,contexto,Contexto y encuadre,0.25,notable,3,"Encuadra el foco con región, actores y temporalidad correctas."
rubrica-analisis-geopolitico,contexto,Contexto y encuadre,0.25,excelente,4,"Encuadre riguroso que integra región, actores, recursos y evolución."
rubrica-analisis-geopolitico,actores,Identificación de actores,0.25,insuficiente,1,Omite actores clave o los confunde.
rubrica-analisis-geopolitico,actores,Identificación de actores,0.25,suficiente,2,Identifica actores estatales pero ignora no estatales relevantes.
rubrica-analisis-geopolitico,actores,Identificación de actores,0.25,notable,3,Identifica actores estatales y no estatales con sus roles.
rubrica-analisis-geopolitico,actores,Identificación de actores,0.25,excelente,4,"Mapea actores, roles y alineaciones y justifica su relevancia."
rubrica-analisis-geopolitico,intereses,Intereses y dinámicas de poder,0.25,insuficiente,1,No explica los intereses en juego.
rubrica-analisis-geopolitico,intereses,Intereses y dinámicas de poder,0.25,suficiente,2,Menciona intereses de forma genérica.
rubrica-analisis-geopolitico,intereses,Intereses y dinámicas de poder,0.25,notable,3,Explica intereses y tensiones de los principales actores.
rubrica-analisis-geopolitico,intereses,Intereses y dinámicas de poder,0.25,excelente,4,"Analiza intereses, incentivos y escenarios de escalada/desescalada."
rubrica-analisis-geopolitico,trazabilidad,Trazabilidad al dato v1,0.25,insuficiente,1,No referencia campos ni fuentes del contrato v1.
rubrica-analisis-geopolitico,trazabilidad,Trazabilidad al dato v1,0.25,suficiente,2,Cita algún campo pero sin trazabilidad clara.
rubrica-analisis-geopolitico,trazabilidad,Trazabilidad al dato v1,0.25,notable,3,"Ancla el análisis en campos reales (actors, metrics, causal_links)."
rubrica-analisis-geopolitico,trazabilidad,Trazabilidad al dato v1,0.25,excelente,4,Cada afirmación se ancla a campos/fuentes verificadas y marca lo pendiente.
rubrica-politica-energetica,recursos,Recursos energéticos,0.3,insuficiente,1,No identifica recursos energéticos relevantes.
rubrica-politica-energetica,recursos,Recursos energéticos,0.3,suficiente,2,Identifica recursos pero sin conectar con el foco.
rubrica-politica-energetica,recursos,Recursos energéticos,0.3,notable,3,Relaciona recursos (`resources`) con el foco y su relevancia.
rubrica-politica-energetica,recursos,Recursos energéticos,0.3,excelente,4,"Analiza recursos, criticidad y su papel en la seguridad energética."
rubrica-politica-energetica,chokepoints,Chokepoints y flujos,0.3,insuficiente,1,Ignora los chokepoints o su relevancia energética.
rubrica-politica-energetica,chokepoints,Chokepoints y flujos,0.3,suficiente,2,Menciona chokepoints sin analizar flujos.
rubrica-politica-energetica,chokepoints,Chokepoints y flujos,0.3,notable,3,Vincula chokepoints con `energy_flow_relevance` y rutas.
